6: 333,382,413,383,397,342
70: 333
78: 5,422,905,15,20,2,688,1033
84: 1131,1129
140: 362,342
143: 973
150: 398,362,382,342,416,333,412
158: 907,316,783,1087,203,204
202: 1127
203: 342,852
210: 421,488,486
260: 6,248
270: 342,372,382,333,362
273: 333
274: 382,372,333
290: 1131,1130,1129
328: 333
348: 414,903,1033,1032,362,416,902,973,372,1034
370: 372,362
414: 488,1033,424,489,245,904,569,781,854,334,358,355,1081,853,1080,629,1079,903,1130,1129
424: 201
425: 973
431: 333
438: 1127
452: 414,416,412
504: 362,342,383
521: 372
524: 22,112,902,340,629,570,111,490,1082,115,256,114,11,1087,426,628,854,782,341,247
546: 1128
563: 383,362,372,342,1129,397
569: 362,333
579: 973
587: 1129,1088
593: 413
602: 362,333
626: 413,398,1032,342,382,362,372
627: 1078
630: 422,244,334
633: 416,342,372,383,362
642: 1129,2,1131,15,1128,1127,114,1081,11,1130,781
645: 333,372
662: 1130
679: 19
733: 333
734: 416,342,362,382
767: 372,1127
777: 342,382
820: 362,342
832: 372,362,398,382,333
855: 383,342,362
858: 566,690
865: 342,382,362,412
945: 342,397,382,398,412
976: 422,981,688
984: 926
986: 422,688
990: 333,245,414,412,342,398,383,248,372,382
1017: 1087,1130
1026: 13,111,20
1070: 519,518,521
1084: 1127,1078,1129
1104: 333
1124: 806,1087,725
1174: 333
1184: 342,372,382,362,398
1195: 17
1224: 422,337,852,690,903,245,981,855
1237: 362,383
1242: 383,362
1277: 383,342
1282: 383,382,362
1293: 651
1313: 372,414,416
1316: 333
1356: 1127,1078
1369: 980,973
1383: 412,362,342,333
1399: 333
1415: 382,383,412,333
1422: 1093
1460: 342,333
1463: 333
1533: 362,333
1535: 333,372,342
1553: 358,245,425,852,689,904
1557: 342
1564: 342,333
1565: 372,333,382
1590: 688,422
1612: 342,362
1613: 359,254,334,628,421,485,1032
1618: 413,416
1691: 1129,1033,985,1127,1035,1086,1088,1034,1128,1130,1131
1706: 973
1735: 376,450,107,448,114,926,375,596,595
1739: 362,342
1742: 907,1035,1034,631,689,1032,855,906,853,854
1758: 414,413,398,416,382,372,383,412
1792: 1127,1128,1130,1129
1834: 333
1843: 1128,1086,7,1129,1130,1127
1848: 488
1862: 333,382,362,372,412
1868: 488,568,256,337,1087,251,1127,253,341,254,358,489,339,245,334,249,255,357,1086,247
1869: 439
1913: 413,333
1951: 333,362
1965: 14,6
1990: 1127
1994: 440,1130,1128,1131,1129
2004: 342,981,980
2013: 397,372,333,382,412
2021: 1079,1077,1081
2024: 372,333,383
2034: 342,372,414,362
2048: 362,333
2119: 414,412,372,383,382
2123: 382,338,362,488,383
2139: 382,342,362
2162: 333
2170: 342,333,362
2183: 1093
2193: 981,1081,362,853
2196: 383,342,333
2206: 333,382,362
2212: 362,342
2240: 359,688
2255: 725,487,425,568,490,1129
2263: 333
2295: 362,333
2301: 362,333,382,398
2313: 13,15,7,10
2322: 416,383,382,333,412,414
2335: 397,333,383,382
2353: 333
2362: 382,362
2413: 398,372,362,342,412,383
2421: 333
2428: 333
2455: 1127,980,334,984,973
2456: 355,488
2461: 1032,1034,1129,983,1077
2469: 383,342
2520: 333,342
2553: 333
2561: 333,362,383,342,397
2585: 903,1127,1128,1129,423,689
2590: 268,360,515,205,439
2636: 569,781,338,1032,422,984,980,5,250,337,9,448
2642: 2,905,15
2651: 1077,1130,1079,1082,1128,1081
2668: 1077
2672: 973,1128,565,421,398,488,355,382,1129,1032,383,688,397,422,1033,414,980,250,251,628
2675: 806
2683: 362
2724: 570,781,341,11,852,782,905,691,253,1086,256,1081,426,17,906,853,780,985,569,424
2732: 333
2776: 333
2801: 342
2833: 1128
2840: 362
2845: 342
2867: 1077,1080,1079
2937: 362
2956: 372,333,362,342
2964: 382,416
2977: 1077,372,362,333
2987: 382
2997: 1132
3024: 333
3031: 362,414,412,372
3037: 342,383,333
3055: 1032
3078: 1130,1127
3090: 362
3091: 422
3120: 1078
3127: 689,980,569,852,984,853,250,338
3132: 362,342
3176: 333
3215: 488,338
3224: 781,421,1127,984,782
3242: 690,688,422
3249: 342,416,414,372,412
3251: 422,688
3253: 852
3265: 333
3279: 1128,1129,1127
3322: 1077
3332: 383,412,372,382,413,362
3337: 397,412,362,333
3348: 1032,383,973,980,382,398,1034,981,372,397,984,902,1080
3351: 1088
3355: 397,362,414,1078,382,1034,1033,413
3382: 342,382,333
3403: 333
3407: 317,426,516,1008,515,689,892,780,781,1087,630,270,1081,440,926,779,1086,591,854,1007
3426: 1086
3435: 1127
3444: 372,383,333,342
3450: 1130,1129,1128,1127
3468: 1127,1129,1131,1130,1128
3470: 1127,1129
3492: 342,362
3559: 398
3597: 1130,1128
3600: 10,5,441,333,566,337,374,853,984,356,1033,981,983,338,13,20,111,485,628,1034
3604: 1087,1088
3607: 852
3617: 358,980,254,781,1077,1127,250,1128,423,568,333,1033,1129
3628: 1128
3660: 251,246,2,248,421,1034,339,338,1032,489,424,984,631,488,254,569,565,1128,340,980
3689: 338,397,250,414,398,853,374,412,245
3720: 342,362
3743: 567,1129,376
3749: 397,1127,372,342
3780: 362
3782: 981,425,688
3799: 342,333
3845: 1128,1130,1033,1127,1129,1131
3874: 1128
3877: 422,688
3910: 357
3917: 397,383,362,342
3944: 1129,1128,591,1127
3947: 1127
3958: 651,862,1086,981
3996: 1094
4009: 333,342
4031: 333
4041: 372,416,1077
4047: 1130,1128,1129,1131
4069: 337,334,250,251,338
4090: 1,9
4105: 1058
4130: 1007,1131
4172: 333,383,382
4198: 342,383,398,362
4256: 22,1080,490,779,426,113,247,1082,357,629,983,690,985,905,632,425,1081,21
4272: 398,383
4277: 333
4281: 342,382,362
4338: 382,333,362,342
4349: 342
4354: 333
4355: 333
4374: 689,984,245
